Year,Month,Sector,New,Renewal,Issued,Refused,Withdrawn
2012,Jan,Service Industry,135,55,190,42,2
2012,Jan,Sport,0,1,1,2,0
2012,Feb,Agriculture & Fisheries,7,7,14,16,0
2012,Feb,Catering,12,17,29,14,1
2012,Feb,Domestic,1,3,4,1,0
2012,Feb,Education,5,0,5,0,0
2012,Feb,Entertainment,2,0,2,2,1
2012,Feb,Exchange Agreements,1,0,1,0,0
2012,Feb,Industry,39,9,48,12,1
2012,Feb,Medical & Nursing,62,13,75,11,2
2012,Feb,Service Industry,118,41,159,28,3
2012,Feb,Sport,2,0,2,0,0
2012,Mar,Agriculture & Fisheries,5,13,18,5,0
2012,Mar,Catering,21,14,35,19,0
2012,Mar,Domestic,2,3,5,0,0
2012,Mar,Education,2,0,2,3,0
2012,Mar,Entertainment,2,0,2,0,0
2012,Mar,Exchange Agreements,1,0,1,0,0
2012,Mar,Industry,49,15,64,22,0
2012,Mar,Medical & Nursing,25,27,52,5,1
2012,Mar,Service Industry,136,59,195,41,7
2012,Mar,Sport,4,0,4,1,0
2012,Apr,Agriculture & Fisheries,0,4,4,3,0
2012,Apr,Catering,24,10,34,14,2
2012,Apr,Domestic,3,0,3,0,1
2012,Apr,Education,2,3,5,1,0
2012,Apr,Entertainment,0,1,1,1,0
2012,Apr,Industry,34,5,39,9,1
2012,Apr,Medical & Nursing,27,27,54,6,1
2012,Apr,Service Industry,98,36,134,28,7
2012,Apr,Sport,4,0,4,1,0
2012,May,Agriculture & Fisheries,0,9,9,2,0
2012,May,Catering,20,15,35,12,2
2012,May,Domestic,5,1,6,2,0
2012,May,Education,5,1,6,2,0
2012,May,Entertainment,0,0,0,1,0
2012,May,Exchange Agreements,7,0,7,0,0
2012,May,Industry,52,6,58,3,1
2012,May,Medical & Nursing,26,20,46,8,2
2012,May,Service Industry,117,23,140,27,4
2012,May,Sport,2,2,4,1,0
2012,Jun,Agriculture & Fisheries,2,11,13,8,0
2012,Jun,Catering,15,6,21,51,2
2012,Jun,Education,0,0,0,1,0
2012,Jun,Entertainment,0,2,2,0,0
2012,Jun,Industry,81,14,95,5,4
2012,Jun,Medical & Nursing,15,14,29,8,1
2012,Jun,Service Industry,135,35,170,71,2
2012,Jun,Sport,3,4,7,1,0
2012,Jul,Agriculture & Fisheries,1,22,23,3,2
2012,Jul,Catering,16,10,26,15,46
2012,Jul,Domestic,1,0,1,2,2
2012,Jul,Education,2,3,5,1,1
2012,Jul,Entertainment,0,0,0,1,13
2012,Jul,Industry,78,10,88,7,14
2012,Jul,Medical & Nursing,21,13,34,8,6
2012,Jul,Service Industry,199,43,242,28,71
2012,Jul,Sport,6,1,7,1,0
2012,Aug,Agriculture & Fisheries,7,4,11,5,0
2012,Aug,Catering,2,10,12,15,1
2012,Aug,Domestic,2,1,3,1,0
2012,Aug,Education,7,1,8,2,0
2012,Aug,Entertainment,2,0,2,0,0
2012,Aug,Exchange Agreements,1,0,1,0,0
2012,Aug,Industry,33,4,37,9,5
2012,Aug,Medical & Nursing,36,23,59,3,2
2012,Aug,Service Industry,148,33,181,26,10
2012,Aug,Sport,5,0,5,2,0
2012,Sep,Agriculture & Fisheries,5,4,9,3,0
2012,Sep,Catering,8,6,14,8,2
2012,Sep,Domestic,3,1,4,0,0
2012,Sep,Education,5,7,12,2,0
2012,Sep,Entertainment,2,1,3,0,0
2012,Sep,Industry,63,10,73,3,2
2012,Sep,Medical & Nursing,37,6,43,6,1
2012,Sep,Service Industry,143,33,176,10,1
2012,Sep,Sport,4,1,5,0,0
2012,Oct,Agriculture & Fisheries,3,5,8,3,0
2012,Oct,Catering,11,7,18,13,0
2012,Oct,Domestic,1,1,2,2,0
2012,Oct,Education,3,4,7,2,1
2012,Oct,Entertainment,4,0,4,0,0
2012,Oct,Industry,29,7,36,1,0
2012,Oct,Medical & Nursing,26,32,58,5,1
2012,Oct,Service Industry,125,35,160,18,3
2012,Oct,Sport,4,0,4,0,1
2012,Nov,Agriculture & Fisheries,1,5,6,3,0
2012,Nov,Catering,10,10,20,9,0
2012,Nov,Domestic,0,1,1,2,0
2012,Nov,Education,4,1,5,0,0
2012,Nov,Exchange Agreements,1,0,1,0,0
2012,Nov,Industry,32,9,41,2,3
2012,Nov,Medical & Nursing,28,27,55,7,0
2012,Nov,Service Industry,158,44,202,27,3
2012,Nov,Sport,0,0,0,1,0
2012,Dec,Agriculture & Fisheries,2,7,9,2,0
2012,Dec,Catering,6,5,11,7,0
2012,Dec,Education,2,3,5,2,0
2012,Dec,Entertainment,0,2,2,0,0
2012,Dec,Industry,58,10,68,5,0
2012,Dec,Medical & Nursing,9,18,27,1,0
2012,Dec,Service Industry,115,32,147,19,2
2012,Dec,Sport,2,0,2,0,0
2013,Jan,Agriculture & Fisheries,4,3,7,5,0
2013,Jan,Catering,14,6,20,10,1
2013,Jan,Domestic,1,0,1,2,0
2013,Jan,Education,6,4,10,2,1
